city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
Kuala Lumpur,DLF Cup,2006/09/16,,,,,,256608,male,0,3,BC Broad,,true,no result,,Sarika Prasad,2006/07,,India,bat,Australia,Asad Rauf,MR Benson,AL Hill,Kinrara Academy Oval,,,,
Hamilton,ICC Cricket World Cup,2015/03/10,,,,,,656465,male,0,34,BC Broad,,true,,S Dhawan,NJ Llong,2014/15,,Ireland,bat,Ireland,JD Cloete,HDPK Dharmasena,RA Kettleborough,Seddon Park,India,,,8
Bangalore,ICC Cricket World Cup,2011/02/27,,,,,,433568,male,0,11,RS Mahanama,,,tie,AJ Strauss,Aleem Dar,2010/11,,England,bat,India,RJ Tucker,BF Bowden,M Erasmus,M Chinnaswamy Stadium,,,,
Napier,,2010/02/05,,,,,,423783,male,0,1,AG Hurst,,,,JDP Oram,CB Gaffaney,2009/10,Bangladesh in New Zealand ODI Series,Bangladesh,bat,New Zealand,GAV Baxter,RA Kettleborough,EA Watkin,McLean Park,New Zealand,,146,
St Vincent,,2010/03/14,,,,,,439144,male,0,5,RS Mahanama,,,,CH Gayle,GE Greaves,2009/10,Zimbabwe in West Indies ODI Series,Zimbabwe,field,West Indies,CE Mack,NA Malcolm,SJA Taufel,"""Arnos Vale Ground",West Indies,,,4
Brisbane,ICC Cricket World Cup,2015/03/01,,,,,,656443,male,0,23,JJ Crowe,,true,,Wahab Riaz,RSA Palliyaguruge,2014/15,,Zimbabwe,bat,Pakistan,PR Reiffel,RA Kettleborough,JS Wilson,"""Brisbane Cricket Ground",Pakistan,,20,
Dublin,,2011/08/25,,,,,,483126,male,0,,DT Jukes,D/L,,,EJG Morgan,J Andrews,2011,,England,field,Ireland,RJ Bailey,SJ Davis,M Hawthorne,Clontarf Cricket Club Ground,England,,11,
Navile,ICC World Cricket League Division Four,2010/08/20,,,,,,467092,male,0,,DT Jukes,,,,PA Petricola,C Young,2010,,Tanzania,bat,Italy,,CA McElwee,K Smith,Centro Sportivo Dozza,Italy,,167,
Colombo,,2013/07/20,,,,,,635653,male,0,1,AJ Pycroft,,,,KC Sangakkara,RR Wimalasiri,2013,South Africa in Sri Lanka ODI Series,South Africa,field,South Africa,RJ Tucker,RA Kettleborough,REJ Martinesz,R Premadasa Stadium,Sri Lanka,,180,
Bulawayo,,2013/08/01,,,,,,643675,male,0,4,BC Broad,,,,MM Sharma,LA Ngwenya,2013,India in Zimbabwe ODI Series,India,field,India,O Chirombe,TJ Matibiri,BNJ Oxenford,Queens Sports Club,India,,,9
Nagpur,ICC Cricket World Cup,2011/03/12,,,,,,433586,male,0,29,RS Madugalle,,,,DW Steyn,HDPK Dharmasena,2010/11,,South Africa,bat,India,BR Doctrove,IJ Gould,SJA Taufel,"""Vidarbha Cricket Association Stadium",South Africa,,,3
Dublin,,2013/07/19,,,,,,644945,female,0,2,DT Jukes,,,,,J McGeehan,2013,Pakistan Women in Ireland ODI Series,Pakistan,bat,Pakistan,,AA Baig,L Fourie,YMCA Cricket Club,Pakistan,,89,
Jaipur,,2013/10/16,,,,,,647251,male,0,2,RS Mahanama,,,,RG Sharma,RM Deshpande,2013/14,Australia in India ODI Series,Australia,bat,Australia,C Shamshuddin,RA Kettleborough,VA Kulkarni,Sawai Mansingh Stadium,India,,,9
Port Elizabeth,,2016/02/06,,,,,,800471,male,0,2,J Srinath,,,,AD Hales,S George,2015/16,England in South Africa ODI Series,England,bat,South Africa,CB Gaffaney,JD Cloete,HDPK Dharmasena,St George's Park,England,,,5
Durban,,2006/03/10,,,,,,238199,male,0,4,BC Broad,,,,HH Dippenaar,,2005/06,Australia in South Africa ODI Series,Australia,bat,South Africa,BG Jerling,KH Hurter,JW Lloyds,Kingsmead,Australia,,,1
Guyana,ICC World Cup,2007/04/01,,,,,,247486,male,0,30,JJ Crowe,,,,ST Jayasuriya,SA Bucknor,2006/07,,Sri Lanka,field,West Indies,SJA Taufel,MR Benson,DJ Harper,Providence Stadium,Sri Lanka,,113,
Karachi,Asia Cup,2008/07/06,,,,,,335358,male,0,,AG Hurst,,true,,BAW Mendis,Ahsan Raza,2008,,Sri Lanka,field,India,Zameer Haider,AL Hill,SJA Taufel,National Stadium,Sri Lanka,,100,
Mumbai,ICC Cricket World Cup,2011/04/02,,,,,,433606,male,0,,JJ Crowe,,,,MS Dhoni,SJ Davis,2010/11,,Sri Lanka,bat,Sri Lanka,IJ Gould,Aleem Dar,SJA Taufel,Wankhede Stadium,India,,,6
St Vincent,,2010/03/10,,,,,,439142,male,0,3,RS Mahanama,,,,DJG Sammy,GE Greaves,2009/10,Zimbabwe in West Indies ODI Series,Zimbabwe,field,Zimbabwe,CE Mack,NA Malcolm,SJA Taufel,"""Arnos Vale Ground",West Indies,,141,
Derby,ICC Women's World Cup,2017/07/15,,,,,,1085971,female,0,27,RB Richardson,,true,,M Raj,JM Williams,2017,,New Zealand,field,New Zealand,,S George,CA Polosak,County Ground,India,,186,
