match_id,inning-batting,name,position,over-batsman,score,balls_bat,dots,ones,twos,threes,fours,sixes,out,balls_bowl,maidens,runs_bowled,wickets,bowler_extras,wicket_score,wicket_overs,wicket_no,wicket_bowler
654093,1,LJ Wright,1,0.1,13,12,6,3,1,0,2,0,stumped,0,0,0,0,0,20,2.5,1,MA Beer
654093,1,BJ Hodge,2,0.1,61,43,12,19,3,0,9,0,caught,0,0,0,0,0,114,14.1,5,AC Thomas
654093,1,Mohammad Hafeez,3,2.6,4,6,5,0,0,0,1,0,caught,18,0,21,0,1,28,4.5,2,MA Beer
654093,1,DJ Hussey,4,4.6,6,5,2,2,0,0,1,0,run out,0,0,0,0,0,51,7.3,3,PJ Cummins
654093,1,MP Stoinis,5,7.4,25,18,5,9,2,0,3,0,lbw,6,0,11,0,0,111,13.4,4,AC Voges
654093,1,PSP Handscomb,6,13.5,25,17,1,13,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0
654093,1,AR Keath,7,14.2,4,6,2,4,0,0,0,0,run out,0,0,0,0,0,122,15.6,6,AC Voges
654093,1,JW Hastings,8,16.1,13,13,3,5,1,0,0,1,0,24,0,20,3,0,0,0.0,0,0
654093,2,CJ Simmons,1,0.1,2,6,5,0,1,0,0,0,caught,0,0,0,0,0,2,0.6,1,DJ Worrall
654093,2,SM Whiteman,3,1.1,17,18,7,9,0,0,2,0,run out,0,0,0,0,0,38,7.3,3,JW Hastings
654093,2,MR Marsh,2,0.1,15,14,8,3,0,0,3,0,caught,0,0,0,0,0,29,5.3,2,JW Hastings
654093,2,AC Voges,4,5.4,30,29,11,13,2,0,3,0,caught,12,0,11,1,1,92,14.1,4,JW Hastings
654093,2,SM Katich,5,7.4,30,23,5,12,3,0,3,0,caught,0,0,0,0,0,108,16.4,7,CA Rose
654093,2,AJ Turner,6,14.2,1,3,2,1,0,0,0,0,bowled,0,0,0,0,0,94,14.6,5,JW Hastings
654093,2,PJ Cummins,7,15.1,7,4,1,1,1,0,1,0,caught,24,0,35,0,1,103,15.6,6,DJ Worrall
654093,2,JP Behrendorff,8,16.1,26,16,3,8,2,0,2,1,caught,18,0,17,0,0,135,19.5,9,SM Boland
654093,2,AC Thomas,9,16.5,3,3,0,3,0,0,0,0,run out,24,0,25,1,1,120,18.2,8,JW Hastings
654093,2,GB Hogg,10,18.3,8,4,1,2,0,0,0,1,0,18,0,34,0,2,0,0.0,0,0
654093,2,MA Beer,11,19.6,0,0,0,0,0,0,0,0,0,24,0,27,2,0,0,0.0,0,0
654093,1,DJ Worrall,0,0.0,0,0,0,0,0,0,0,0,0,24,0,29,2,0,0,0.0,0,0
654093,1,SM Boland,0,0.0,0,0,0,0,0,0,0,0,0,24,0,33,1,1,0,0.0,0,0
654093,1,CA Rose,0,0.0,0,0,0,0,0,0,0,0,0,24,0,25,1,0,0,0.0,0,0
829761,1,RV Uthappa,1,0.1,32,31,18,6,2,0,4,1,lbw,0,0,0,0,0,63,8.6,2,A Mishra
829761,1,G Gambhir,2,0.1,12,10,4,4,0,0,2,0,caught,0,0,0,0,0,38,4.3,1,Z Khan
829761,1,MK Pandey,3,4.4,22,19,7,8,2,0,1,1,bowled,0,0,0,0,0,82,11.4,3,Yuvraj Singh
829761,1,PP Chawla,4,9.1,22,19,6,8,2,0,1,1,caught,24,0,32,4,0,108,14.5,4,JA Morkel
829761,1,YK Pathan,5,11.5,42,24,6,8,2,0,3,3,caught,0,0,0,0,0,153,18.6,6,Imran Tahir
829761,1,AD Russell,6,14.6,9,5,3,1,0,0,1,0,caught,24,0,23,1,1,128,16.4,5,Imran Tahir
829761,1,SA Yadav,7,16.5,7,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
829761,1,J Botha,8,19.1,17,5,0,1,0,0,4,0,run out,6,0,14,0,0,170,19.6,7,Z Khan
829761,2,MK Tiwary,1,0.1,25,27,16,7,0,0,3,1,caught,0,0,0,0,0,63,9.5,1,PP Chawla
829761,2,SS Iyer,2,0.1,40,36,15,14,1,0,3,2,bowled,0,0,0,0,0,71,10.6,2,GB Hogg
829761,2,JP Duminy,3,9.6,25,17,2,11,0,0,2,1,caught,6,0,16,0,0,111,15.3,5,PP Chawla
829761,2,KM Jadhav,4,11.1,10,6,1,4,0,0,0,1,caught,0,0,0,0,0,96,13.2,3,PP Chawla
829761,2,Yuvraj Singh,5,13.3,0,3,3,0,0,0,0,0,caught,12,0,14,1,0,96,13.5,4,PP Chawla
829761,2,AD Mathews,6,13.6,22,14,4,6,1,0,2,1,bowled,12,0,13,0,0,143,18.6,6,AD Russell
829761,2,SS Tiwary,7,15.4,24,15,5,6,0,0,3,1,0,0,0,0,0,0,0,0.0,0,0
829761,2,JA Morkel,8,19.1,5,2,0,1,0,0,1,0,0,18,0,24,1,1,0,0.0,0,0
829761,2,Z Khan,0,0.0,0,0,0,0,0,0,0,0,0,24,0,32,1,2,0,0.0,0,0
829761,2,A Mishra,0,0.0,0,0,0,0,0,0,0,0,0,24,0,20,1,0,0,0.0,0,0
829761,2,Imran Tahir,0,0.0,0,0,0,0,0,0,0,0,0,24,0,44,2,2,0,0.0,0,0
829761,1,UT Yadav,0,0.0,0,0,0,0,0,0,0,0,0,24,0,26,0,3,0,0.0,0,0
829761,1,SP Narine,0,0.0,0,0,0,0,0,0,0,0,0,24,0,29,0,1,0,0.0,0,0
829761,1,GB Hogg,0,0.0,0,0,0,0,0,0,0,0,0,18,0,27,1,0,0,0.0,0,0
571247,1,DLR Smith,1,0.1,1,6,6,0,0,0,0,0,caught,0,0,0,0,0,8,1.2,1,BE Young
571247,1,SNJ O'Keefe,2,0.1,4,5,4,0,0,0,1,0,run out,18,0,17,1,2,10,2.2,2,SW Tait
571247,1,BJ Haddin,3,1.3,22,30,13,14,2,0,1,0,caught,0,0,0,0,0,73,11.6,3,MJ Johnston
571247,1,SPD Smith,4,2.3,58,42,9,22,5,0,5,1,run out,12,0,16,0,0,114,16.5,4,KW Richardson
571247,1,MC Henriques,5,12.1,32,26,9,10,1,0,2,2,bowled,0,0,0,0,0,129,18.5,5,SW Tait
571247,1,BMAJ Mendis,6,16.6,5,4,2,1,0,0,1,0,lbw,0,0,0,0,0,130,18.7,6,SW Tait
571247,1,DJ Thornely,7,18.6,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
571247,1,B Lee,8,19.1,2,3,1,2,0,0,0,0,0,24,0,31,0,1,0,0.0,0,0
571247,2,M Klinger,1,0.1,53,51,22,19,4,0,5,1,stumped,0,0,0,0,0,125,15.2,1,SNJ O'Keefe
571247,2,TP Ludeman,2,0.1,71,44,13,15,5,0,7,3,0,0,0,0,0,0,0,0.0,0,0
571247,2,MJ Johnston,3,15.3,3,1,0,0,0,1,0,0,0,18,0,22,1,0,0,0.0,0,0
571247,2,KW Richardson,0,0.0,0,0,0,0,0,0,0,0,0,24,0,30,0,3,0,0.0,0,0
571247,2,BE Young,0,0.0,0,0,0,0,0,0,0,0,0,18,0,11,1,0,0,0.0,0,0
