bowl_out,city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_runs,winner_wickets
,,Big Bash League,2014/01/27,,,,,,654093,male,0,,DJ Harper,,,,JW Hastings,PJ Gillespie,2013/14,,Perth Scorchers,bat,Melbourne Stars,SJ Nogajski,GA Abood,GC Joshua,Melbourne Cricket Ground,Melbourne Stars,20,
,Kolkata,Indian Premier League,2015/05/07,,,,,,829761,male,0,42,RS Mahanama,,,,PP Chawla,A Nand Kishore,2015,,Delhi Daredevils,bat,Kolkata Knight Riders,K Srinivasan,AK Chaudhary,M Erasmus,Eden Gardens,Kolkata Knight Riders,13,
,,Big Bash League,2012/12/23,,,,,,571247,male,0,,DJ Harper,,,,TP Ludeman,,2012/13,,Sydney Sixers,bat,Sydney Sixers,P Wilson,SD Fry,SJ Nogajski,Adelaide Oval,Adelaide Strikers,,9
,Colombo,ICC World Twenty20,2012/10/05,,,,,,533297,male,0,,RS Madugalle,,true,,CH Gayle,Asad Rauf,2012/13,,West Indies,bat,West Indies,RA Kettleborough,Aleem Dar,HDPK Dharmasena,R Premadasa Stadium,West Indies,74,
,Hyderabad,Indian Premier League,2012/05/20,,,,,,548376,male,0,71,AJ Pycroft,,,,DW Steyn,KN Ananthapadmanabhan,2012,,Royal Challengers Bangalore,field,Royal Challengers Bangalore,JD Cloete,S Ravi,SJA Taufel,"""Rajiv Gandhi International Stadium",Deccan Chargers,9,
,Kolkata,Indian Premier League,2012/04/13,,,,,,548320,male,0,15,GF Labrooy,,,,Shakib Al Hasan,Premdip Chatterjee,2012,,Rajasthan Royals,bat,Rajasthan Royals,S Das,Asad Rauf,S Asnani,Eden Gardens,Kolkata Knight Riders,,5
,,,2014/11/07,,,,,,754719,male,0,2,J Srinath,,,,CJ Boyce,MW Graham-Smith,2014/15,South Africa in Australia T20I Series,South Africa,bat,South Africa,JD Ward,SD Fry,MD Martell,Melbourne Cricket Ground,Australia,,7
,Colombo,,2013/03/05,,,,,,603244,female,0,3,BCMS Mendis,,,,,RMPJ Rambukwella,2012/13,West Indies Women in Sri Lanka T20I Series,West Indies,field,Sri Lanka,,HMNC Dhanasinghe,RD Kottahachchi,R Premadasa Stadium,West Indies,34,
,Chittagong,World T20,2014/03/29,,,,,,682947,male,0,26,DC Boon,,true,,AB de Villiers,Aleem Dar,2013/14,,South Africa,field,England,BNJ Oxenford,SJ Davis,RJ Tucker,Zahur Ahmed Chowdhury Stadium,South Africa,3,
,Colombo,,2013/08/02,,,,,,635658,male,0,1,AJ Pycroft,,,,JP Duminy,TH Wijewardene,2013,South Africa in Sri Lanka T20I Series,South Africa,bat,South Africa,RSA Palliyaguruge,REJ Martinesz,RR Wimalasiri,R Premadasa Stadium,South Africa,12,
,,ICC World Twenty20,2012/09/23,,,,,,533280,male,0,9,GF Labrooy,,true,,Nasir Jamshed,BF Bowden,2012/13,,Pakistan,bat,Pakistan,NJ Llong,M Erasmus,BNJ Oxenford,Pallekele International Cricket Stadium,Pakistan,13,
,Melbourne,Big Bash League,2018/01/16,,,,,,1114885,male,0,30,SR Bernard,,,,NM Lyon,S Brne,2017/18,,Sydney Sixers,field,Sydney Sixers,DM Koch,JD Ward,SAJ Craig,Melbourne Cricket Ground,Sydney Sixers,,8
,Perth,,2010/10/31,,,,,,446956,male,0,,BC Broad,,,,S Randiv,NR Johnstone,2010/11,,Sri Lanka,bat,Australia,SD Fry,BNJ Oxenford,PR Reiffel,Western Australia Cricket Association Ground,Sri Lanka,,7
,Edinburgh,ICC World Twenty20 Qualifier,2015/07/15,,,,,,875509,male,0,27,Simon Taufel,,true,,NK Patel,IN Ramage,2015,,United Arab Emirates,bat,Kenya,,S George,VA Kulkarni,Goldenacre,Kenya,42,
,Mumbai,Indian Premier League,2008/05/31,,,,,,336039,male,0,,S Venkataraghavan,,,,M Ntini,,2007/08,,Kings XI Punjab,bat,Kings XI Punjab,K Hariharan,Asad Rauf,DJ Harper,Wankhede Stadium,Chennai Super Kings,,9
,Mumbai,Indian Premier League,2015/04/12,,,,,,829717,male,0,7,Chinmay Sharma,,,,GJ Bailey,A Nand Kishore,2015,,Kings XI Punjab,field,Mumbai Indians,K Srinath,AK Chaudhary,K Srinivasan,Wankhede Stadium,Kings XI Punjab,18,
,Melbourne,Big Bash League,2016/12/22,,,,,,1023585,male,0,3,DJ Harper,,,,AJ Finch,S Brne,2016/17,,Sydney Thunder,field,Sydney Thunder,SD Fry,GA Abood,MW Graham-Smith,Docklands Stadium,Melbourne Renegades,49,
,Bangalore,Indian Premier League,2013/04/23,,,,,,598027,male,0,31,AJ Pycroft,,,,CH Gayle,KN Ananthapadmanabhan,2013,,Pune Warriors,field,Pune Warriors,S Das,Aleem Dar,C Shamshuddin,M Chinnaswamy Stadium,Royal Challengers Bangalore,130,
,Auckland,,2006/12/26,,,,,,251488,male,0,2,J Srinath,,,,JEC Franklin,BG Frost,2006/07,Sri Lanka in New Zealand T20I Series,Sri Lanka,field,New Zealand,GAV Baxter,BF Bowden,AL Hill,Eden Park,New Zealand,,5
,Delhi,Indian Premier League,2017/04/17,,,,,,1082608,male,0,18,S Chaturvedi,,,,NM Coulter-Nile,K Srinivasan,2017,,Kolkata Knight Riders,bat,Delhi Daredevils,YC Barde,Nitin Menon,CK Nandan,Feroz Shah Kotla,Kolkata Knight Riders,,4
,Mirpur,Asia Cup,2016/03/03,,,,,,966761,male,0,9,JJ Crowe,,true,,RG Sharma,Anisur Rahman,2015/16,,United Arab Emirates,bat,United Arab Emirates,RSA Palliyaguruge,Sharfuddoula,Shozab Raza,Shere Bangla National Stadium,India,,9
,Rajkot,Indian Premier League,2016/05/03,,,,,,980961,male,0,31,M Nayyar,,,,RR Pant,YC Barde,2016,,Delhi Daredevils,field,Delhi Daredevils,A Nand Kishore,CB Gaffaney,BNJ Oxenford,Saurashtra Cricket Association Stadium,Delhi Daredevils,,8
,,Women's World T20,2014/03/29,,,,,,682993,female,0,14,J Srinath,,true,,EJ Villani,RK Illingworth,2013/14,,Pakistan,bat,Australia,,NJ Llong,S Ravi,Sylhet Stadium,Australia,94,
,Melbourne,Big Bash League,2016/01/18,,,,,,897757,male,0,32,DJ Harper,,,,TM Head,AJ Sammartino,2015/16,,Adelaide Strikers,field,Melbourne Renegades,AJ Barrow,GA Abood,SAJ Craig,Docklands Stadium,Adelaide Strikers,27,
,,Big Bash League,2012/01/04,,,,,,524930,male,0,,DJ Burns,,,,HH Gibbs,,2011/12,,Perth Scorchers,bat,Perth Scorchers,AJ Barrow,MD Martell,P Wilson,Melbourne Cricket Ground,Perth Scorchers,8,
,Hyderabad,Indian Premier League,2019/03/29,,,,,,1175363,male,0,8,Chinmay Sharma,,,,Rashid Khan,K Srinath,2019,,Rajasthan Royals,bat,Rajasthan Royals,KN Ananthapadmanabhan,C Shamshuddin,BNJ Oxenford,"""Rajiv Gandhi International Stadium",Sunrisers Hyderabad,,5
,,,2010/02/20,,,,,,440946,male,0,2,RS Madugalle,,true,,Abdul Razzaq,Mohammad Ali,2009/10,Pakistan v England T20I Series,Pakistan,field,Pakistan,HDPK Dharmasena,EAR de Silva,Enamul Haque,Dubai International Cricket Stadium,Pakistan,,4
