match-id,team-name,innings,name,batting-position,over-batsman,runs-scored,balls-played,dots,ones,twos,threes,fours,sixes,wicket-method,balls-bowled,maiden-overs,runs-given,wickets,extras,fall-of-wicket-score,fall-of-wicket-overs,fall-of-wicket-no,fall-of-wicket-bowler
1019975,New Zealand,1,MJ Guptill,1,0.1,0,4,4,0,0,0,0,0,lbw,0,0,0,0,0,0,0.4,1,Mashrafe Mortaza
1019975,New Zealand,1,KS Williamson,3,0.5,14,35,27,4,1,0,2,0,caught,30,0,21,3,1,37,10.5,2,Taskin Ahmed
1019975,New Zealand,1,TWM Latham,2,0.1,22,35,25,4,1,0,4,0,lbw,0,0,0,0,0,47,13.1,3,Shakib Al Hasan
1019975,New Zealand,1,NT Broom,4,10.6,109,107,42,49,5,0,8,3,0,0,0,0,0,0,0,0.0,0,0
1019975,New Zealand,1,JDS Neesham,5,13.2,28,31,17,10,0,0,3,1,stumped,12,0,12,0,1,98,22.5,4,Mosaddek Hossain
1019975,New Zealand,1,C Munro,6,22.6,3,7,4,3,0,0,0,0,bowled,12,0,12,0,0,107,25.3,5,Mashrafe Mortaza
1019975,New Zealand,1,L Ronchi,7,25.4,35,38,21,11,1,0,4,1,caught,0,0,0,0,0,171,37.3,6,Taskin Ahmed
1019975,New Zealand,1,MJ Santner,8,37.4,9,17,12,3,0,2,0,0,caught,48,1,19,1,1,198,42.5,7,Subashis Roy
1019975,New Zealand,1,TG Southee,9,42.6,3,7,5,1,1,0,0,0,caught,54,1,31,2,2,214,45.2,8,Shakib Al Hasan
1019975,New Zealand,1,LH Ferguson,10,45.3,4,7,5,0,0,0,1,0,caught,48,0,50,1,3,228,46.5,9,Mashrafe Mortaza
1019975,New Zealand,1,TA Boult,11,46.6,12,12,7,0,2,0,2,0,run out,53,0,23,2,2,251,49.6,10,Taskin Ahmed
1019975,Bangladesh,2,Tamim Iqbal,1,0.1,16,23,16,4,0,0,3,0,caught,0,0,0,0,0,30,7.2,1,TG Southee
1019975,Bangladesh,2,Imrul Kayes,2,0.1,59,89,47,35,0,0,6,0,caught,0,0,0,0,0,136,31.3,6,TG Southee
1019975,Bangladesh,2,Sabbir Rahman,3,7.3,38,48,32,10,1,0,2,3,run out,0,0,0,0,0,105,22.599999999999998,2,MJ Santner
1019975,Bangladesh,2,Mahmudullah,4,23.1,1,10,8,1,0,0,0,0,bowled,0,0,0,0,0,112,25.3,3,LH Ferguson
1019975,Bangladesh,2,Shakib Al Hasan,5,25.4,7,10,6,3,0,0,1,0,caught,60,0,45,2,0,128,28.4,4,KS Williamson
1019975,Bangladesh,2,Mosaddek Hossain,6,28.5,3,8,5,3,0,0,0,0,caught,12,0,12,1,0,134,30.4,5,KS Williamson
1019975,Bangladesh,2,Tanbir Hayder,7,30.5,2,5,3,2,0,0,0,0,stumped,48,0,47,0,0,141,32.4,7,KS Williamson
1019975,Bangladesh,2,Nurul Hasan,8,31.4,24,32,16,10,2,0,1,1,caught,0,0,0,0,0,184,42.5,10,TA Boult
1019975,Bangladesh,2,Mashrafe Mortaza,9,32.5,17,19,13,3,0,0,2,1,caught,60,1,47,3,2,162,36.4,8,TA Boult
1019975,Bangladesh,2,Taskin Ahmed,10,36.5,0,4,4,0,0,0,0,0,stumped,60,1,44,2,1,175,39.3,9,MJ Santner
1019975,Bangladesh,2,Subashis Roy,11,39.4,1,9,8,1,0,0,0,0,0,60,1,44,1,1,0,0.0,0,0
952191,Netherlands,1,SJ Myburgh,1,0.1,6,9,7,0,1,0,1,0,lbw,0,0,0,0,0,10,2.3,1,AM Guruge
952191,Netherlands,1,MR Swart,2,0.1,9,16,12,1,0,0,2,0,caught,0,0,0,0,0,30,6.5,2,AM Guruge
952191,Netherlands,1,BN Cooper,3,2.4,14,18,11,4,1,0,2,0,caught,0,0,0,0,0,33,7.6,3,Amjad Javed
952191,Netherlands,1,PW Borren,4,6.6,1,11,10,1,0,0,0,0,run out,18,0,20,0,1,33,9.5,4,Amjad Javed
